"age","sex","category","population"
66,"Miehet","v2010",47
66,"Miehet","v2024",44
67,"Miehet","v1990",30
67,"Miehet","v2010",42
67,"Miehet","v2024",57
68,"Miehet","v1990",28
68,"Miehet","v2010",27
68,"Miehet","v2024",54
69,"Miehet","v1990",31
69,"Miehet","v2010",47
69,"Miehet","v2024",58
70,"Miehet","v1990",33
70,"Miehet","v2010",36
70,"Miehet","v2024",42
71,"Miehet","v1990",20
71,"Miehet","v2010",31
71,"Miehet","v2024",43
72,"Miehet","v1990",27
72,"Miehet","v2010",39
72,"Miehet","v2024",49
73,"Miehet","v1990",26
73,"Miehet","v2010",41
73,"Miehet","v2024",54
74,"Miehet","v1990",19
74,"Miehet","v2010",35
74,"Miehet","v2024",54
75,"Miehet","v1990",20
75,"Miehet","v2010",32
75,"Miehet","v2024",52
76,"Miehet","v1990",17
76,"Miehet","v2010",27
76,"Miehet","v2024",49
77,"Miehet","v1990",13
77,"Miehet","v2010",24
77,"Miehet","v2024",42
78,"Miehet","v1990",22
78,"Miehet","v2010",28
78,"Miehet","v2024",52
79,"Miehet","v1990",12
79,"Miehet","v2010",38
79,"Miehet","v2024",25
80,"Miehet","v1990",14
80,"Miehet","v2010",20
80,"Miehet","v2024",29
81,"Miehet","v1990",13
81,"Miehet","v2010",24
81,"Miehet","v2024",15
82,"Miehet","v1990",15
82,"Miehet","v2010",16
82,"Miehet","v2024",18
83,"Miehet","v1990",11
83,"Miehet","v2010",26
83,"Miehet","v2024",22
84,"Miehet","v1990",16
84,"Miehet","v2010",11
84,"Miehet","v2024",23
85,"Miehet","v1990",4
85,"Miehet","v2010",12
85,"Miehet","v2024",14
86,"Miehet","v1990",9
86,"Miehet","v2010",10
86,"Miehet","v2024",16
87,"Miehet","v1990",7
87,"Miehet","v2010",7
87,"Miehet","v2024",15
88,"Miehet","v1990",1
88,"Miehet","v2010",6
88,"Miehet","v2024",9
89,"Miehet","v1990",1
89,"Miehet","v2010",5
89,"Miehet","v2024",8
90,"Miehet","v1990",1
90,"Miehet","v2010",7
90,"Miehet","v2024",7
91,"Miehet","v1990",2
91,"Miehet","v2010",3
91,"Miehet","v2024",5
92,"Miehet","v1990",0
92,"Miehet","v2010",3
92,"Miehet","v2024",2
93,"Miehet","v1990",1
93,"Miehet","v2010",0
93,"Miehet","v2024",8
94,"Miehet","v1990",1
94,"Miehet","v2010",1
94,"Miehet","v2024",2
95,"Miehet","v1990",1
95,"Miehet","v2010",2
95,"Miehet","v2024",1
96,"Miehet","v1990",1
96,"Miehet","v2010",0
96,"Miehet","v2024",1
97,"Miehet","v1990",1
97,"Miehet","v2010",0
97,"Miehet","v2024",2
98,"Miehet","v1990",0
98,"Miehet","v2010",0
98,"Miehet","v2024",1
99,"Miehet","v1990",0
99,"Miehet","v2010",0
99,"Miehet","v2024",2
100,"Miehet","v1990",0
100,"Miehet","v2010",0
100,"Miehet","v2024",0
0,"Naiset","v1990",46
0,"Naiset","v2010",29
0,"Naiset","v2024",18
1,"Naiset","v1990",33
1,"Naiset","v2010",36
1,"Naiset","v2024",22
2,"Naiset","v1990",31
2,"Naiset","v2010",44
2,"Naiset","v2024",24
3,"Naiset","v1990",29
3,"Naiset","v2010",33
3,"Naiset","v2024",21
4,"Naiset","v1990",38
4,"Naiset","v2010",41
4,"Naiset","v2024",21
5,"Naiset","v1990",38
5,"Naiset","v2010",46
5,"Naiset","v2024",27
6,"Naiset","v1990",37
6,"Naiset","v2010",35
6,"Naiset","v2024",25
7,"Naiset","v1990",36
7,"Naiset","v2010",41
7,"Naiset","v2024",23
8,"Naiset","v1990",53
8,"Naiset","v2010",28
8,"Naiset","v2024",28
9,"Naiset","v1990",34
9,"Naiset","v2010",49
9,"Naiset","v2024",36
10,"Naiset","v1990",34
10,"Naiset","v2010",37
10,"Naiset","v2024",20
11,"Naiset","v1990",34
11,"Naiset","v2010",45
11,"Naiset","v2024",21
12,"Naiset","v1990",32
12,"Naiset","v2010",32
12,"Naiset","v2024",39
13,"Naiset","v1990",46
13,"Naiset","v2010",39
13,"Naiset","v2024",32
14,"Naiset","v1990",46
14,"Naiset","v2010",44
14,"Naiset","v2024",29
15,"Naiset","v1990",39
15,"Naiset","v2010",46
15,"Naiset","v2024",44
16,"Naiset","v1990",35
16,"Naiset","v2010",34
16,"Naiset","v2024",34
17,"Naiset","v1990",34
17,"Naiset","v2010",35
17,"Naiset","v2024",31
18,"Naiset","v1990",28
18,"Naiset","v2010",35
18,"Naiset","v2024",33
19,"Naiset","v1990",36
19,"Naiset","v2010",26
19,"Naiset","v2024",23
20,"Naiset","v1990",23
20,"Naiset","v2010",23
20,"Naiset","v2024",22
21,"Naiset","v1990",48
21,"Naiset","v2010",14
21,"Naiset","v2024",15
22,"Naiset","v1990",30
22,"Naiset","v2010",14
22,"Naiset","v2024",11
23,"Naiset","v1990",42
23,"Naiset","v2010",16
23,"Naiset","v2024",12
24,"Naiset","v1990",39
24,"Naiset","v2010",23
24,"Naiset","v2024",9
25,"Naiset","v1990",44
25,"Naiset","v2010",23
25,"Naiset","v2024",19
26,"Naiset","v1990",31
26,"Naiset","v2010",25
26,"Naiset","v2024",13
27,"Naiset","v1990",37
27,"Naiset","v2010",26
27,"Naiset","v2024",20
28,"Naiset","v1990",38
28,"Naiset","v2010",43
28,"Naiset","v2024",19
29,"Naiset","v1990",28
29,"Naiset","v2010",16
29,"Naiset","v2024",17
30,"Naiset","v1990",43
30,"Naiset","v2010",35
30,"Naiset","v2024",33
31,"Naiset","v1990",41
31,"Naiset","v2010",36
31,"Naiset","v2024",25
32,"Naiset","v1990",36
32,"Naiset","v2010",33
32,"Naiset","v2024",33
33,"Naiset","v1990",48
33,"Naiset","v2010",40
33,"Naiset","v2024",32
34,"Naiset","v1990",45
34,"Naiset","v2010",38
34,"Naiset","v2024",31
35,"Naiset","v1990",41
35,"Naiset","v2010",35
35,"Naiset","v2024",27
36,"Naiset","v1990",35
36,"Naiset","v2010",39
36,"Naiset","v2024",27
37,"Naiset","v1990",41
37,"Naiset","v2010",29
37,"Naiset","v2024",22
38,"Naiset","v1990",44
38,"Naiset","v2010",34
38,"Naiset","v2024",31
39,"Naiset","v1990",48
39,"Naiset","v2010",29
39,"Naiset","v2024",31
40,"Naiset","v1990",43
40,"Naiset","v2010",39
40,"Naiset","v2024",38
41,"Naiset","v1990",37
41,"Naiset","v2010",53
41,"Naiset","v2024",41
42,"Naiset","v1990",51
42,"Naiset","v2010",45
42,"Naiset","v2024",42
43,"Naiset","v1990",37
43,"Naiset","v2010",47
43,"Naiset","v2024",35
44,"Naiset","v1990",57
44,"Naiset","v2010",44
44,"Naiset","v2024",33
45,"Naiset","v1990",41
45,"Naiset","v2010",55
45,"Naiset","v2024",39
46,"Naiset","v1990",33
46,"Naiset","v2010",46
46,"Naiset","v2024",51
47,"Naiset","v1990",42
47,"Naiset","v2010",55
47,"Naiset","v2024",40
48,"Naiset","v1990",24
48,"Naiset","v2010",59
48,"Naiset","v2024",42
49,"Naiset","v1990",43
49,"Naiset","v2010",44
49,"Naiset","v2024",37
50,"Naiset","v1990",32
50,"Naiset","v2010",50
50,"Naiset","v2024",35
51,"Naiset","v1990",37
51,"Naiset","v2010",57
51,"Naiset","v2024",33
52,"Naiset","v1990",48
52,"Naiset","v2010",49
52,"Naiset","v2024",36
53,"Naiset","v1990",39
53,"Naiset","v2010",46
53,"Naiset","v2024",32
54,"Naiset","v1990",40
54,"Naiset","v2010",58
54,"Naiset","v2024",35
55,"Naiset","v1990",52
55,"Naiset","v2010",51
55,"Naiset","v2024",57
56,"Naiset","v1990",30
56,"Naiset","v2010",43
56,"Naiset","v2024",48
57,"Naiset","v1990",42
57,"Naiset","v2010",48
57,"Naiset","v2024",52
58,"Naiset","v1990",27
58,"Naiset","v2010",52
58,"Naiset","v2024",47
59,"Naiset","v1990",45
59,"Naiset","v2010",48
59,"Naiset","v2024",62
60,"Naiset","v1990",43
60,"Naiset","v2010",65
60,"Naiset","v2024",34
61,"Naiset","v1990",40
61,"Naiset","v2010",44
61,"Naiset","v2024",54
62,"Naiset","v1990",47
62,"Naiset","v2010",56
62,"Naiset","v2024",64
63,"Naiset","v1990",46
63,"Naiset","v2010",42
63,"Naiset","v2024",39
64,"Naiset","v1990",46
64,"Naiset","v2010",74
64,"Naiset","v2024",48
65,"Naiset","v1990",48
65,"Naiset","v2010",42
65,"Naiset","v2024",56
66,"Naiset","v1990",51
66,"Naiset","v2010",42
66,"Naiset","v2024",47
67,"Naiset","v1990",43
67,"Naiset","v2010",55
67,"Naiset","v2024",50
68,"Naiset","v1990",33
68,"Naiset","v2010",26
68,"Naiset","v2024",56
69,"Naiset","v1990",43
69,"Naiset","v2010",60
69,"Naiset","v2024",45
70,"Naiset","v1990",55
70,"Naiset","v2010",37
70,"Naiset","v2024",46
71,"Naiset","v1990",37
71,"Naiset","v2010",45
71,"Naiset","v2024",33
72,"Naiset","v1990",54
72,"Naiset","v2010",47
72,"Naiset","v2024",53
73,"Naiset","v1990",38
73,"Naiset","v2010",40
73,"Naiset","v2024",49
74,"Naiset","v1990",36
74,"Naiset","v2010",37
74,"Naiset","v2024",50
75,"Naiset","v1990",31
75,"Naiset","v2010",46
75,"Naiset","v2024",39
76,"Naiset","v1990",56
76,"Naiset","v2010",26
76,"Naiset","v2024",49
77,"Naiset","v1990",36
77,"Naiset","v2010",32
77,"Naiset","v2024",40
78,"Naiset","v1990",33
78,"Naiset","v2010",23
78,"Naiset","v2024",52
79,"Naiset","v1990",38
79,"Naiset","v2010",32
79,"Naiset","v2024",34
80,"Naiset","v1990",31
80,"Naiset","v2010",27
80,"Naiset","v2024",37
81,"Naiset","v1990",21
81,"Naiset","v2010",30
81,"Naiset","v2024",34
82,"Naiset","v1990",28
82,"Naiset","v2010",33
82,"Naiset","v2024",28
83,"Naiset","v1990",33
83,"Naiset","v2010",36
83,"Naiset","v2024",31
84,"Naiset","v1990",22
84,"Naiset","v2010",28
84,"Naiset","v2024",35
85,"Naiset","v1990",22
85,"Naiset","v2010",21
85,"Naiset","v2024",26
86,"Naiset","v1990",14
86,"Naiset","v2010",24
86,"Naiset","v2024",30
87,"Naiset","v1990",12
87,"Naiset","v2010",17
87,"Naiset","v2024",15
88,"Naiset","v1990",14
88,"Naiset","v2010",16
88,"Naiset","v2024",17
89,"Naiset","v1990",8
89,"Naiset","v2010",21
89,"Naiset","v2024",19
90,"Naiset","v1990",9
90,"Naiset","v2010",15
90,"Naiset","v2024",13
91,"Naiset","v1990",9
91,"Naiset","v2010",7
91,"Naiset","v2024",10
92,"Naiset","v1990",3
92,"Naiset","v2010",14
92,"Naiset","v2024",10
93,"Naiset","v1990",3
93,"Naiset","v2010",4
93,"Naiset","v2024",9
94,"Naiset","v1990",1
